username,purchase_amount,num_items,account_age_days,session_duration,failed_login_attempts,geo_location_mismatch,timezone_mismatch,multiple_sessions_same_ip,account_takeover_risk,sudden_ip_change,captcha_triggered,typing_time,paste_detected,mouse_moves_per_second,scroll_depth,total_time_on_page,keystroke_variance,click_count,mouse_click_rate,idle_time_ratio,hover_time,scroll_velocity,user_agent_contains_bot,navigator_webdriver,js_enabled,cookie_enabled,timestamp,is_fraud,is_security_threat,is_behavior_anomaly,is_bot
user1,380.79,8,113,892,1,1,0,0,0.44,1,1,2.7,1,22.62,15,630,1.8,73,0.22,0.35,15,1.4,0,0,1,1,2025-07-14 12:25:00,1,0,0,1
user2,951.21,3,492,1114,2,0,1,0,0.51,1,0,6.16,1,16.8,64,1413,1.51,99,0.5,0.03,46,4.5,0,0,1,1,2025-07-14 16:09:00,1,1,0,0
user3,734.67,8,233,3519,2,1,0,0,0.26,0,0,2.94,0,20.44,1,1073,1.99,81,0.9,0.27,5,1.95,1,1,1,1,2025-07-14 09:11:00,1,1,1,1
user4,602.67,5,841,1708,1,1,0,1,0.32,0,1,8.75,0,23.48,55,661,0.64,47,0.33,0.15,15,0.56,1,0,1,1,2025-07-14 17:26:00,0,1,1,0
user5,164.46,1,883,1960,3,0,0,1,0.09,0,1,9.48,1,37.42,78,1633,0.86,5,0.44,0.14,28,4.3,0,0,1,1,2025-07-14 16:22:00,1,1,0,0
user6,164.43,7,875,1517,3,1,0,1,0.3,0,1,5.67,1,28.02,27,274,1.82,26,0.86,0.19,14,4.74,1,0,1,1,2025-07-14 08:05:00,1,1,1,0
user7,67.5,5,500,2944,0,0,1,1,0.97,0,0,4.17,1,47.46,64,401,1.09,66,0.66,0.0,18,3.45,1,1,1,1,2025-07-14 15:11:00,1,0,1,1
user8,867.51,6,482,3033,0,0,0,0,0.94,1,0,3.11,0,6.88,4,1819,1.2,83,0.78,0.23,18,1.54,0,0,1,1,2025-07-14 17:52:00,0,0,0,0
user9,605.1,6,19,1459,3,1,0,1,0.33,1,0,1.45,1,27.64,21,284,1.79,30,0.29,0.24,11,1.63,0,0,1,1,2025-07-14 10:32:00,1,0,1,1
user10,710.99,8,414,3475,4,0,1,0,0.57,1,1,3.42,0,31.29,99,1462,1.28,22,0.74,0.43,27,2.6,1,0,1,1,2025-07-14 19:29:00,1,1,1,0
user11,30.38,9,905,502,2,0,1,1,0.91,0,1,6.89,0,46.41,12,609,0.79,52,0.3,0.22,47,4.54,1,0,1,1,2025-07-14 15:17:00,0,0,0,1
user12,970.21,2,311,2182,4,0,0,0,0.01,0,1,5.8,1,7.21,64,918,1.84,13,0.99,0.18,26,1.17,1,1,1,1,2025-07-14 11:03:00,0,1,1,1
user13,834.12,9,240,616,2,0,0,0,0.81,1,1,9.5,1,30.81,15,1433,0.55,5,0.6,0.5,40,4.22,1,0,1,1,2025-07-14 09:16:00,0,1,1,1
user14,220.22,9,740,1238,3,0,1,1,0.95,1,0,4.57,0,43.41,85,1630,1.84,13,0.73,0.29,31,1.81,1,1,1,1,2025-07-14 16:29:00,0,1,1,1
user15,190.01,7,932,3561,0,0,1,1,0.09,0,1,7.24,0,15.89,63,1469,0.58,27,0.21,0.24,6,4.14,1,1,1,1,2025-07-14 17:18:00,1,1,1,1
user16,191.57,1,75,2097,0,1,1,0,0.16,1,0,5.4,1,44.43,31,1204,1.5,49,0.33,0.25,43,4.64,0,0,1,1,2025-07-14 17:20:00,1,1,1,0
user17,311.2,7,946,422,4,0,0,1,0.96,1,0,5.61,1,5.86,79,1497,0.61,6,0.23,0.4,23,2.42,1,1,1,1,2025-07-14 08:38:00,1,1,0,1
user18,529.51,5,121,2555,0,1,0,1,0.54,0,1,3.41,1,37.96,50,255,1.56,18,0.45,0.17,11,2.14,0,1,1,1,2025-07-14 16:07:00,0,0,0,1
user19,437.63,6,22,1317,3,1,0,0,0.01,1,0,5.09,0,46.99,78,886,0.55,42,0.36,0.19,16,4.11,0,1,1,1,2025-07-14 08:22:00,1,1,0,0
user20,298.32,7,402,1901,4,0,1,0,0.26,1,0,5.24,0,34.57,57,894,1.76,44,0.76,0.38,7,2.88,1,0,1,1,2025-07-14 18:53:00,0,0,0,1
user21,615.73,5,509,2369,2,1,1,0,0.45,1,0,7.36,1,24.76,45,531,1.2,67,0.2,0.04,9,3.58,0,1,1,1,2025-07-14 10:08:00,0,1,0,1
user22,148.1,7,941,1910,0,1,1,0,0.69,0,0,9.47,0,7.02,51,1623,0.64,86,0.78,0.43,12,3.3,1,1,1,1,2025-07-14 08:23:00,1,0,1,1
user23,299.22,9,607,2232,1,0,0,1,0.73,1,1,3.96,0,46.41,62,860,1.56,20,0.14,0.22,18,1.19,0,0,1,1,2025-07-14 10:50:00,0,1,1,1
user24,372.7,3,243,970,0,0,1,0,1.0,1,1,1.38,1,26.16,75,246,1.23,97,0.28,0.29,40,4.3,1,0,1,1,2025-07-14 15:57:00,0,1,0,1
user25,461.51,8,611,304,2,0,0,0,0.29,1,0,5.47,0,6.3,59,580,0.79,79,0.81,0.38,11,1.38,0,1,1,1,2025-07-14 08:08:00,1,0,0,0
user26,787.32,2,323,601,4,1,1,0,0.54,0,1,5.9,1,36.04,64,534,0.52,10,0.77,0.13,11,4.7,1,1,1,1,2025-07-14 11:14:00,1,1,0,1
user27,207.68,7,575,2592,2,1,0,1,0.53,0,0,2.52,1,26.68,80,1642,1.13,7,0.53,0.45,36,1.63,0,1,1,1,2025-07-14 15:26:00,0,1,1,0
user28,519.09,2,21,2229,1,0,0,0,0.41,1,1,7.84,0,10.6,54,1792,0.63,18,0.14,0.49,12,3.8,1,0,1,1,2025-07-14 09:36:00,1,0,1,1
